MALS|703487034870348|0725525110|1150222|KOT|KOTTAWA SUPER BRANCH|1|107254|2096406|C|556|DEPOSIT CASH - UTILITY|37654|108765|10175421|3826|0|0
HANA|123451234512341|0725525110|1150222|CMB|COLOMBO BRANCH|2|107255|1984014|C|556|DEPOSIT CASH - UTILITY|37655|108767|10175424|3833|0|0
DIAM|032000601376001|0725525110|1150223|NUG|NUGEGODA BRANCH|3|107256|2101270|D|510|CREDIT|37656|108769|10175427|3840|0|0
HERM|123451234512345|0725525110|1150222|KOT|KOTTAWA SUPER BRANCH|4|107257|1949417|C|556|DEPOSIT CASH - UTILITY|37657|108771|10175430|3847|0|0
HANA|123451234512341|0725525110|1150221|KOT|KOTTAWA SUPER BRANCH|5|107258|2042928|C|556|DEPOSIT CASH - UTILITY|37658|108773|10175433|3854|0|0
KTNS|123451234512340|0725525110|1150221|KOT|KOTTAWA SUPER BRANCH|6|107259|1940295|C|556|DEPOSIT CASH - UTILITY|37659|108775|10175436|3861|0|0
KTNS|123451234512340|0725525110|1150225|SHO|SEYLAN HEAD OFFICE|7|107260|1928226|C|556|DEPOSIT CASH - UTILITY|37660|108777|10175439|3868|0|0
HERM|123451234512345|0725525110|1150221|NUG|NUGEGODA BRANCH|8|107261|2143393|D|510|CREDIT|37661|108779|10175442|3875|0|0
HANA|123451234512341|0725525110|1150223|KOT|KOTTAWA SUPER BRANCH|9|107262|1866815|D|510|CREDIT|37662|108781|10175445|3882|0|0
DIAM|032000601376001|0725525110|1150220|KOT|KOTTAWA SUPER BRANCH|10|107263|2064155|D|510|CREDIT|37663|108783|10175448|3889|0|0
KTNS|123451234512340|0725525110|1150225|SHO|SEYLAN HEAD OFFICE|11|107264|2039490|D|510|CREDIT|37664|108785|10175451|3896|0|0
KTNS|123451234512340|0725525110|1150220|SHO|SEYLAN HEAD OFFICE|12|107265|2118038|D|510|CREDIT|37665|108787|10175454|3903|0|0
DIAM|032000601376001|0725525110|1150223|CMB|COLOMBO BRANCH|13|107266|1994078|D|510|CREDIT|37666|108789|10175457|3910|0|0
HERM|123451234512345|0725525110|1150220|NUG|NUGEGODA BRANCH|14|107267|2045008|C|556|DEPOSIT CASH - UTILITY|37667|108791|10175460|3917|0|0
KTNS|123451234512340|0725525110|1150220|SHO|SEYLAN HEAD OFFICE|15|107268|2076508|C|556|DEPOSIT CASH - UTILITY|37668|108793|10175463|3924|0|0
HANA|123451234512341|0725525110|1150220|KOT|KOTTAWA SUPER BRANCH|16|107269|2002070|D|510|CREDIT|37669|108795|10175466|3931|0|0
DIAM|032000601376001|0725525110|1150221|SHO|SEYLAN HEAD OFFICE|17|107270|1953021|D|510|CREDIT|37670|108797|10175469|3938|0|0
HANA|123451234512341|0725525110|1150220|KOT|KOTTAWA SUPER BRANCH|18|107271|1925566|D|510|CREDIT|37671|108799|10175472|3945|0|0
JESS|123451234512346|0725525110|1150221|NUG|NUGEGODA BRANCH|19|107272|1880022|C|556|DEPOSIT CASH - UTILITY|37672|108801|10175475|3952|0|0
MALS|703487034870348|0725525110|1150223|MAH|MAHARAGAMA BRANCH|20|107273|1907088|D|510|CREDIT|37673|108803|10175478|3959|0|0
KTNS|123451234512340|0725525110|1150222|SHO|SEYLAN HEAD OFFICE|21|107274|2011167|D|510|CREDIT|37674|108805|10175481|3966|0|0
DIAM|032000601376001|0725525110|1150222|NUG|NUGEGODA BRANCH|22|107275|1940527|C|556|DEPOSIT CASH - UTILITY|37675|108807|10175484|3973|0|0
MALS|703487034870348|0725525110|1150221|NUG|NUGEGODA BRANCH|23|107276|1975087|D|510|CREDIT|37676|108809|10175487|3980|0|0
KTNS|123451234512340|0725525110|1150222|KOT|KOTTAWA SUPER BRANCH|24|107277|2072588|D|510|CREDIT|37677|108811|10175490|3987|0|0
DIAM|032000601376001|0725525110|1150225|SHO|SEYLAN HEAD OFFICE|25|107278|2065938|C|556|DEPOSIT CASH - UTILITY|37678|108813|10175493|3994|0|0
HANA|123451234512341|0725525110|1150220|MAH|MAHARAGAMA BRANCH|26|107279|2014497|C|556|DEPOSIT CASH - UTILITY|37679|108815|10175496|4001|0|0
MALS|703487034870348|0725525110|1150222|SHO|SEYLAN HEAD OFFICE|27|107280|2088542|D|510|CREDIT|37680|108817|10175499|4008|0|0
DIAM|032000601376001|0725525110|1150221|CMB|COLOMBO BRANCH|28|107281|1998939|C|556|DEPOSIT CASH - UTILITY|37681|108819|10175502|4015|0|0
HANA|123451234512341|0725525110|1150223|MAH|MAHARAGAMA BRANCH|29|107282|1997063|D|510|CREDIT|37682|108821|10175505|4022|0|0
HERM|123451234512345|0725525110|1150223|NUG|NUGEGODA BRANCH|30|107283|2048483|C|556|DEPOSIT CASH - UTILITY|37683|108823|10175508|4029|0|0
MALS|703487034870348|0725525110|1150223|NUG|NUGEGODA BRANCH|31|107284|2000821|C|556|DEPOSIT CASH - UTILITY|37684|108825|10175511|4036|0|0
HERM|123451234512345|0725525110|1150224|CMB|COLOMBO BRANCH|32|107285|2047326|D|510|CREDIT|37685|108827|10175514|4043|0|0
DIAM|032000601376001|0725525110|1150223|SHO|SEYLAN HEAD OFFICE|33|107286|2056179|C|556|DEPOSIT CASH - UTILITY|37686|108829|10175517|4050|0|0
KTNS|123451234512340|0725525110|1150224|CMB|COLOMBO BRANCH|34|107287|2000692|C|556|DEPOSIT CASH - UTILITY|37687|108831|10175520|4057|0|0
DIAM|032000601376001|0725525110|1150222|CMB|COLOMBO BRANCH|35|107288|2072092|D|510|CREDIT|37688|108833|10175523|4064|0|0
HERM|123451234512345|0725525110|1150223|CMB|COLOMBO BRANCH|36|107289|1944502|C|556|DEPOSIT CASH - UTILITY|37689|108835|10175526|4071|0|0
HERM|123451234512345|0725525110|1150225|CMB|COLOMBO BRANCH|37|107290|1955492|C|556|DEPOSIT CASH - UTILITY|37690|108837|10175529|4078|0|0
KTNS|123451234512340|0725525110|1150221|MAH|MAHARAGAMA BRANCH|38|107291|2005111|D|510|CREDIT|37691|108839|10175532|4085|0|0
JESS|123451234512346|0725525110|1150221|SHO|SEYLAN HEAD OFFICE|39|107292|1885103|D|510|CREDIT|37692|108841|10175535|4092|0|0
HANA|123451234512341|0725525110|1150224|MAH|MAHARAGAMA BRANCH|40|107293|2068163|D|510|CREDIT|37693|108843|10175538|4099|0|0
JESS|123451234512346|0725525110|1150224|CMB|COLOMBO BRANCH|41|107294|1967377|C|556|DEPOSIT CASH - UTILITY|37694|108845|10175541|4106|0|0
